"序号","OBJ编号","中文名称","原文件名","修改后文件名","原相对路径","修改后相对路径","字节数","SHA256"
"170","OBJ012","深绿色花瓶","1-不同摆放.txt","S0457.txt","tactile-lushui\深绿色花瓶\1-不同摆放.txt","tactile-lushui\深绿色花瓶\S0457.txt","120505","4F511EDBB2C43B1B642982691E7C8D57DD035BE01F18CEC571A0BC5ACB307B77"
"171","OBJ012","深绿色花瓶","2-不同摆放.txt","S0458.txt","tactile-lushui\深绿色花瓶\2-不同摆放.txt","tactile-lushui\深绿色花瓶\S0458.txt","126664","0D5F95218621EADCB9F6C71F17FCDAF7DFCBB7C0C973EB7C9F2B49E790FEBAB2"
"172","OBJ012","深绿色花瓶","3-滑落.txt","S0459.txt","tactile-lushui\深绿色花瓶\3-滑落.txt","tactile-lushui\深绿色花瓶\S0459.txt","123318","14AC4CCBDFF0A1E2FFB480977E0B66C95AC9EDDBB4D51F2AD37A7E5D1DA29B04"
"173","OBJ012","深绿色花瓶","4.txt","S0460.txt","tactile-lushui\深绿色花瓶\4.txt","tactile-lushui\深绿色花瓶\S0460.txt","117152","5D61A7E650065C26BD91D9F78AB2FC975BC3F4A1A7D3DBD791F5263BA9B4879B"
"174","OBJ012","深绿色花瓶","5.txt","S0461.txt","tactile-lushui\深绿色花瓶\5.txt","tactile-lushui\深绿色花瓶\S0461.txt","118436","AEC9EE3BDA204B3517338A0DCC641B589CA13D2A708EA30748D8637DC3554139"
"175","OBJ012","深绿色花瓶","6.txt","S0462.txt","tactile-lushui\深绿色花瓶\6.txt","tactile-lushui\深绿色花瓶\S0462.txt","120335","09A96C7B3605C7D26698D715FB64836808A8A4EAE69458375746129B04E9A9F9"
"176","OBJ012","深绿色花瓶","7.txt","S0463.txt","tactile-lushui\深绿色花瓶\7.txt","tactile-lushui\深绿色花瓶\S0463.txt","123704","65D608B49BCF4C821F3BA966B289567A64846FFA57FCBF9ED99833B837FE106F"
"177","OBJ012","深绿色花瓶","8.txt","S0464.txt","tactile-lushui\深绿色花瓶\8.txt","tactile-lushui\深绿色花瓶\S0464.txt","124919","DAC7EEC8F744F63415AEACF206B61762777CDD1AF79BE8469551D37F65FEC115"
"178","OBJ012","深绿色花瓶","9.txt","S0465.txt","tactile-lushui\深绿色花瓶\9.txt","tactile-lushui\深绿色花瓶\S0465.txt","124486","85226B21E76E82331F6991081C7FD3E2A055877DFE81571AF851751F8A7FCB63"
"179","OBJ012","深绿色花瓶","10.txt","S0466.txt","tactile-lushui\深绿色花瓶\10.txt","tactile-lushui\深绿色花瓶\S0466.txt","120531","20A04B48D52CBFC975F19BB074B7396DB06B6632B6339A3DF33002AFAB13EC8C"
"180","OBJ012","深绿色花瓶","11-进水速度快.txt","S0467.txt","tactile-lushui\深绿色花瓶\11-进水速度快.txt","tactile-lushui\深绿色花瓶\S0467.txt","119117","67F8335152D9AD92DD15F490610BFAF63604B1801555734911265998CAC2F4FA"
"181","OBJ012","深绿色花瓶","12-进水速度快.txt","S0468.txt","tactile-lushui\深绿色花瓶\12-进水速度快.txt","tactile-lushui\深绿色花瓶\S0468.txt","118354","F2287159B2DFD99CCAB5AE2F7C6CD4468E4A6C0EC7E1B169CFF9CDFE50831F61"
"182","OBJ012","深绿色花瓶","13-进水速度快.txt","S0469.txt","tactile-lushui\深绿色花瓶\13-进水速度快.txt","tactile-lushui\深绿色花瓶\S0469.txt","121126","12D19BAE2D24050AEBB1B4F364B31EC1B5F9B8F9E0B82A1C4A1A71C90B57B7A8"
"183","OBJ012","深绿色花瓶","14-浑浊.txt","S0470.txt","tactile-lushui\深绿色花瓶\14-浑浊.txt","tactile-lushui\深绿色花瓶\S0470.txt","118417","C510AB984236840CD54112AAF180B6A2F699B12562333434BB8CCB59F5FD4EF2"
"184","OBJ012","深绿色花瓶","15-浑浊.txt","S0471.txt","tactile-lushui\深绿色花瓶\15-浑浊.txt","tactile-lushui\深绿色花瓶\S0471.txt","121259","5E6718BA472AB3D473F6C3E65750EF6046177ABF3FD7EC2251729CD4DF971A4C"
"185","OBJ012","深绿色花瓶","动态水流深绿色.txt","S0472.txt","tactile-lushui\深绿色花瓶\动态水流深绿色.txt","tactile-lushui\深绿色花瓶\S0472.txt","118327","A7C7DC675F043CED0C31F8E5919D748545C4FC01CBFA68C7783A3CF969C80A30"
